,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
0,,5,아주 막나요. 냉동실에 놓고 조금씩,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240918
1,,5,매번먹는만두에요 참고로 군만두 만두국 찐만두 다맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240917
2,,5,수제만두라 맛있어요~ 김치맛은 좀 덜해요 김치가 더 들어가면 좋겠어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
3,,5,넘 맛있어요. 다음에도 살게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
4,,5,미미만두는 사랑입니다 맛있어요!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
5,,5,매운거 못먹는 조카도 잘먹는 미미김치만두 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
6,,5,수제만두 맛있습니다. 군만두로 딱입니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
7,,4,담백하고 피도 얇아서 먹기편해요 한번쯤 먹어보고 싶어서 주문했어요,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240905
8,,5,맛있습니다 작아도 고기가 많아요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240904
9,,5,자주 사먹습니다. 가격은 좀 있는데 맛있어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240904
10,,5,믿고 사는 만두집입니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
11,,5,배송도 빠르고 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
12,,5,안녕하세요 좋은 제품판매합니다. 기호성 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
13,,5,맛있어서 재구매 했아요 튀겨먹는게 맛난거 같아요 만두피가 얇아서 좋아욤^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
14,,5,맛잇습니다 좋아요 ㅎㅎ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
15,,5,맛있고 담백합니다.빠르고 안전한 배송 감사합니다,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240828
16,,5,구매후 잘먹어요 맛있어요 추천합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240828
17,,5,세일할때 가끔구입해요. 포장이 아슬아슬할때가 많아요. 얼음팩이 터져오거나 녹아서옵니다 맛있어서 재구입하지만 얼음팩터지지 않는 제품으로 사용하시면 좋겠어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240827
18,,5,세일할때 구입해둡니다. 아이가 잘먹어요. 살짝 매콤하고 한입크기라 부담없어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240827
19,,5,배송도 빨랐고 만두야 맛있어서 믿고 먹어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240826
20,,5,아주 막나요. 냉동실에 놓고 조금씩,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240918
21,,5,매번먹는만두에요 참고로 군만두 만두국 찐만두 다맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240917
22,,5,수제만두라 맛있어요~ 김치맛은 좀 덜해요 김치가 더 들어가면 좋겠어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
23,,5,넘 맛있어요. 다음에도 살게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
24,,5,미미만두는 사랑입니다 맛있어요!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
25,,5,매운거 못먹는 조카도 잘먹는 미미김치만두 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
26,,5,수제만두 맛있습니다. 군만두로 딱입니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
27,,4,담백하고 피도 얇아서 먹기편해요 한번쯤 먹어보고 싶어서 주문했어요,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240905
28,,5,맛있습니다 작아도 고기가 많아요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240904
29,,5,자주 사먹습니다. 가격은 좀 있는데 맛있어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240904
30,,5,믿고 사는 만두집입니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
31,,5,배송도 빠르고 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
32,,5,안녕하세요 좋은 제품판매합니다. 기호성 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
33,,5,맛있어서 재구매 했아요 튀겨먹는게 맛난거 같아요 만두피가 얇아서 좋아욤^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
34,,5,맛잇습니다 좋아요 ㅎㅎ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
35,,5,맛있고 담백합니다.빠르고 안전한 배송 감사합니다,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240828
36,,5,구매후 잘먹어요 맛있어요 추천합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240828
37,,5,세일할때 가끔구입해요. 포장이 아슬아슬할때가 많아요. 얼음팩이 터져오거나 녹아서옵니다 맛있어서 재구입하지만 얼음팩터지지 않는 제품으로 사용하시면 좋겠어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240827
38,,5,세일할때 구입해둡니다. 아이가 잘먹어요. 살짝 매콤하고 한입크기라 부담없어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240827
39,,5,배송도 빨랐고 만두야 맛있어서 믿고 먹어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240826
40,,5,정말 맛있는 김치만두에요~!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240826
41,,5,맛있어요. 천안에 명물 만두입니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240826
42,,5,김치만두는 처음으로 주문했는데 아껴서 먹고 싶을 정도로 맛있네요... 천안 가까이서 살았으면 좋겠어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240826
43,,5,배송이 도착후 바로 아내가 찜통에 바로 해서 먹어네요 ㅎㅎ,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
44,,5,만두국 끓여 먹으려고 샀는데 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
45,,5,김치만두 짱입니다 요즘은 배송도 많이 기다리지않아서 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240824
46,,5,요즘엔 김치가 더 맛있습니다 역시 최애만두^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240824
47,,4,👀 겨울에 먹어야 더 맛있나봐요. 냉동했다가 가을에 먹을라고요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
48,,5,"맛있어요, 자주 주문합니다","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
49,,5,물건을 잘 받았습니다,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240823
50,,5,매우 만족합니다 매우 만족합니다 매우,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
51,,5,울집 최애만두. 김치만두 하나도 안 매워 울집 맵찔이도 잘 먹네요~~^^,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240822
52,,5,역시 맛은 여전히 맛있네요.받자마자 먹었네요..간만에 재구매합니다..,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240822
53,,4,세일해서 또 삽니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240822
54,,5,사이즈가 딱 좋아요~~,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240822
55,,5,그냥저냥 입니다.~~ㅠ,"맛 만족도평범해요,유통기한임박상품이에요,포장별로예요,",20240822
56,,5,원래먹던거 늘먹어도 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240817
