,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
0,,5,떡 너무 맛있어요~~~ 다먹으면 또 구입할게요^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240916
1,,5,정말 맛있어요~~ 쑥향도 진하고~ 기다린 보람이 있어요~~,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240912
2,,5,너무맛있어요 할머니가 너무 조아하셔서 늘 보내드리고있어요,,20240911
3,,5,드디어 먹어보네요. 기대되네요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240911
4,,5,너무 맛있게 먹었어요. 아껴 먹어요. ㅋ ㅋ 또 주문해야 겠어요.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240803
5,,5,항상 먹는 떡인데 전에 구매햇을땐 냉동실 꺼내만 놔도 말랑햇는데 요새는 좀 딱딱하네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240717
6,,5,맛있게 잘 먹었어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240708
7,,5,맛있어요 생각나는 맛!!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240626
8,,5,사랑합니다 사장님... 오래오래 건강하셔서 오래오래 떡 만들어서 팔아주세요...세상 대 존맛...,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240625
9,,5,가끔 시켜먹는데 정말맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240623
10,,5,제꺼 드시더니 너무 맛있게 드서서 따로 재주문,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240622
11,,4,촉촉하고 맛있어요. 출출할 때 하나씩 들고 다닙니다.,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240618
12,,4,단맛이 적어서 아쉬워요 ㅠㅠㅠ,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240617
13,,5,보들보들 촉촉한 고물과 달콤한 동부앙금소가 쫄깃한 쑥찰떡과 찰떡궁합이네요👍 한번에 20개씩 주문해 떨어지면 또 바로 구매 합니다. 아무리 먹어도 질리지 않는 맛있는 맛🤤,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240614
14,,4,맛있어요 기회되면 재구매 할거예요 많이 파세요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240613
15,,5,쑥도 많이 들었고 촉촉한앙금이 듬뿍~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240605
16,,5,친정 엄마께 보내드렸습니다..지난 번 보다 더 맛있다고 하시더라고요..,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240605
17,,5,............,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240605
18,,5,아무래도 냉동으로 오니 여름철에는 조금 녹일 때 세네시간 지나면 부풀어 올라서 뭔가 불편한 부분이 있네요.ㅜㅜ,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240604
19,,5,좋은제품 빠른배송 감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240604
20,,5,떡 너무 맛있어요~~~ 다먹으면 또 구입할게요^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240916
21,,5,정말 맛있어요~~ 쑥향도 진하고~ 기다린 보람이 있어요~~,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240912
22,,5,너무맛있어요 할머니가 너무 조아하셔서 늘 보내드리고있어요,,20240911
23,,5,드디어 먹어보네요. 기대되네요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240911
24,,5,너무 맛있게 먹었어요. 아껴 먹어요. ㅋ ㅋ 또 주문해야 겠어요.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240803
25,,5,항상 먹는 떡인데 전에 구매햇을땐 냉동실 꺼내만 놔도 말랑햇는데 요새는 좀 딱딱하네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240717
26,,5,맛있게 잘 먹었어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240708
27,,5,맛있어요 생각나는 맛!!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240626
28,,5,사랑합니다 사장님... 오래오래 건강하셔서 오래오래 떡 만들어서 팔아주세요...세상 대 존맛...,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240625
29,,5,가끔 시켜먹는데 정말맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240623
30,,5,제꺼 드시더니 너무 맛있게 드서서 따로 재주문,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240622
31,,4,촉촉하고 맛있어요. 출출할 때 하나씩 들고 다닙니다.,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240618
32,,4,단맛이 적어서 아쉬워요 ㅠㅠㅠ,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240617
33,,5,보들보들 촉촉한 고물과 달콤한 동부앙금소가 쫄깃한 쑥찰떡과 찰떡궁합이네요👍 한번에 20개씩 주문해 떨어지면 또 바로 구매 합니다. 아무리 먹어도 질리지 않는 맛있는 맛🤤,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240614
34,,4,맛있어요 기회되면 재구매 할거예요 많이 파세요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240613
35,,5,쑥도 많이 들었고 촉촉한앙금이 듬뿍~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240605
36,,5,친정 엄마께 보내드렸습니다..지난 번 보다 더 맛있다고 하시더라고요..,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240605
